"gene","GO"
"H2-M1","1. response to stimulus"
"H2-M2","1. response to stimulus"
"H2-M3","1. response to stimulus"
"H2-M5","1. response to stimulus"
"H2-M9","1. response to stimulus"
"H2-M10.1","1. response to stimulus"
"H2-M10.2","1. response to stimulus"
"H2-M10.3","1. response to stimulus"
"H2-M10.4","1. response to stimulus"
"H2-M10.5","1. response to stimulus"
"H2-M10.6","1. response to stimulus"
"H2-M11","1. response to stimulus"
"H2-Q1","1. response to stimulus"
"H2-Q2","1. response to stimulus"
"H2-Q4","1. response to stimulus"
"H2-Q6","1. response to stimulus"
"H2-Q7","1. response to stimulus"
"H2-Q8","1. response to stimulus"
"H2-Q9","1. response to stimulus"
"H2-Q10","1. response to stimulus"
"H2-T3","1. response to stimulus"
"H2-T22","1. response to stimulus"
"H2-T23","1. response to stimulus"
"H2-T24","1. response to stimulus"
"H2AW","1. response to stimulus"
"H2AX","1. response to stimulus"
"H2AZ1","1. response to stimulus"
"H2BC1","1. response to stimulus"
"H2BC4","1. response to stimulus"
"H2BC6","1. response to stimulus"
"H2BC7","1. response to stimulus"
"H2BC8","1. response to stimulus"
"H2BC12","1. response to stimulus"
"H2BC13","1. response to stimulus"
"H2BC21","1. response to stimulus"
"H13","1. response to stimulus"
"H60A","1. response to stimulus"
"H60B","1. response to stimulus"
"H60C","1. response to stimulus"
"HAAO","1. response to stimulus"
"HABP4","1. response to stimulus"
"HACD3","1. response to stimulus"
"HADH","1. response to stimulus"
"HADHA","1. response to stimulus"
"HALR1","1. response to stimulus"
"HAMP","1. response to stimulus"
"HAMP2","1. response to stimulus"
"HAND2","1. response to stimulus"
"HAP1","1. response to stimulus"
"HAS1","1. response to stimulus"
"HAS2","1. response to stimulus"
"HASPIN","1. response to stimulus"
"HAVCR2","1. response to stimulus"
"HAX1","1. response to stimulus"
"HBA-A1","1. response to stimulus"
"HBA-A2","1. response to stimulus"
"HBA-X","1. response to stimulus"
"HBB-B1","1. response to stimulus"
"HBB-B2","1. response to stimulus"
"HBB-BH1","1. response to stimulus"
"HBB-Y","1. response to stimulus"
"HBEGF","1. response to stimulus"
"HBP1","1. response to stimulus"
"HC","1. response to stimulus"
"HCAR1","1. response to stimulus"
"HCAR2","1. response to stimulus"
"HCK","1. response to stimulus"
"HCLS1","1. response to stimulus"
"HCN1","1. response to stimulus"
"HCN2","1. response to stimulus"
"HCN4","1. response to stimulus"
"HCRT","1. response to stimulus"
"HCRTR1","1. response to stimulus"
"HCRTR2","1. response to stimulus"
"HCST","1. response to stimulus"
"HDAC1","1. response to stimulus"
"HDAC2","1. response to stimulus"
"HDAC3","1. response to stimulus"
"HDAC4","1. response to stimulus"
"HDAC5","1. response to stimulus"
"HDAC6","1. response to stimulus"
"HDAC7","1. response to stimulus"
"HDAC9","1. response to stimulus"
"HDAC10","1. response to stimulus"
"HDGF","1. response to stimulus"
"HEG1","1. response to stimulus"
"HELB","1. response to stimulus"
"HELLS","1. response to stimulus"
"HELQ","1. response to stimulus"
"HEM1","1. response to stimulus"
"HERC2","1. response to stimulus"
"HERC6","1. response to stimulus"
"HERPUD1","1. response to stimulus"
"HERPUD2","1. response to stimulus"
"HES1","1. response to stimulus"
"HES5","1. response to stimulus"
"HES7","1. response to stimulus"
"HEXA","1. response to stimulus"
"HEXIM1","1. response to stimulus"
"HEY1","1. response to stimulus"
"HEY2","1. response to stimulus"
"HEYL","1. response to stimulus"
"HFE","1. response to stimulus"
"HGF","1. response to stimulus"
"HGS","1. response to stimulus"
"HHAT","1. response to stimulus"
"HHEX","1. response to stimulus"
"HHIP","1. response to stimulus"
"HIC1","1. response to stimulus"
"HIC2","1. response to stimulus"
"HIF1A","1. response to stimulus"
"HIF1AN","1. response to stimulus"
"HIF3A","1. response to stimulus"
"HIGD1A","1. response to stimulus"
"HIKESHI","1. response to stimulus"
"HINFP","1. response to stimulus"
"HINT1","1. response to stimulus"
"HIP1","1. response to stimulus"
"HIP1R","1. response to stimulus"
"HIPK1","1. response to stimulus"
"HIPK2","1. response to stimulus"
"HIPK3","1. response to stimulus"
"HIPK4","1. response to stimulus"
"HIVEP1","1. response to stimulus"
"HIVEP2","1. response to stimulus"
"HJV","1. response to stimulus"
"HK1","1. response to stimulus"
"HK2","1. response to stimulus"
"HK3","1. response to stimulus"
"HLCS","1. response to stimulus"
"HLX","1. response to stimulus"
"HM629797","1. response to stimulus"
"HMCES","1. response to stimulus"
"HMCN1","1. response to stimulus"
"HMCN2","1. response to stimulus"
"HMGA1","1. response to stimulus"
"HMGA2","1. response to stimulus"
"HMGA2-PS1","1. response to stimulus"
"HMGB1","1. response to stimulus"
"HMGB2","1. response to stimulus"
"HMGB3","1. response to stimulus"
"HMGB4","1. response to stimulus"
"HMGCR","1. response to stimulus"
"HMGCS1","1. response to stimulus"
"HMGN1","1. response to stimulus"
"HMGN3","1. response to stimulus"
"HMOX1","1. response to stimulus"
"HMOX2","1. response to stimulus"
"HNF1A","1. response to stimulus"
"HNF1B","1. response to stimulus"
"HNF4A","1. response to stimulus"
"HNRNPA0","1. response to stimulus"
"HNRNPD","1. response to stimulus"
"HNRNPH1","1. response to stimulus"
"HNRNPK","1. response to stimulus"
"HNRNPL","1. response to stimulus"
"HNRNPM","1. response to stimulus"
"HNRNPU","1. response to stimulus"
"HNRNPUL1","1. response to stimulus"
"HOMER1","1. response to stimulus"
"HOMER2","1. response to stimulus"
"HOMER3","1. response to stimulus"
"HOPX","1. response to stimulus"
"HOXA1","1. response to stimulus"
"HOXA2","1. response to stimulus"
"HOXA13","1. response to stimulus"
"HOXB3OS","1. response to stimulus"
"HOXB9","1. response to stimulus"
"HOXD3","1. response to stimulus"
"HP","1. response to stimulus"
"HP1BP3","1. response to stimulus"
"HPCA","1. response to stimulus"
"HPCAL4","1. response to stimulus"
"HPF1","1. response to stimulus"
"HPGD","1. response to stimulus"
"HPN","1. response to stimulus"
"HPRT","1. response to stimulus"
"HPS1","1. response to stimulus"
"HPS4","1. response to stimulus"
"HPS5","1. response to stimulus"
"HPS6","1. response to stimulus"
"HPSE","1. response to stimulus"
"HPX","1. response to stimulus"
"HRAS","1. response to stimulus"
"HRG","1. response to stimulus"
"HRH1","1. response to stimulus"
"HRH2","1. response to stimulus"
"HRH3","1. response to stimulus"
"HRH4","1. response to stimulus"
"HRK","1. response to stimulus"
"HS1BP3","1. response to stimulus"
"HSBP1","1. response to stimulus"
"HSBP1L1","1. response to stimulus"
"HSD3B1","1. response to stimulus"
"HSD3B2","1. response to stimulus"
"HSD3B3","1. response to stimulus"
"HSD3B4","1. response to stimulus"
"HSD3B5","1. response to stimulus"
"HSD3B6","1. response to stimulus"
"HSD3B7","1. response to stimulus"
"HSD17B2","1. response to stimulus"
"HSF1","1. response to stimulus"
"HSF2","1. response to stimulus"
"HSF3","1. response to stimulus"
"HSF4","1. response to stimulus"
"HSF5","1. response to stimulus"
"HSFY2","1. response to stimulus"
"HSH2D","1. response to stimulus"
"HSP84-2","1. response to stimulus"
"HSP90AA1","1. response to stimulus"
"HSP90AB1","1. response to stimulus"
"HSP90B1","1. response to stimulus"
"HSPA1A","1. response to stimulus"
"HSPA1B","1. response to stimulus"
"HSPA1L","1. response to stimulus"
"HSPA2","1. response to stimulus"
"HSPA4","1. response to stimulus"
"HSPA4L","1. response to stimulus"
"HSPA5","1. response to stimulus"
"HSPA8","1. response to stimulus"
"HSPA9","1. response to stimulus"
"HSPA13","1. response to stimulus"
"HSPA14","1. response to stimulus"
"HSPB1","1. response to stimulus"
"HSPB2","1. response to stimulus"
"HSPB7","1. response to stimulus"
"HSPB8","1. response to stimulus"
"HSPB11","1. response to stimulus"
"HSPD1","1. response to stimulus"
"HSPE1-RS1","1. response to stimulus"
"HSPH1","1. response to stimulus"
"HTR1A","1. response to stimulus"
"HTR1B","1. response to stimulus"
"HTR1D","1. response to stimulus"
"HTR1E","1. response to stimulus"
"HTR1F","1. response to stimulus"
"HTR2A","1. response to stimulus"
"HTR2B","1. response to stimulus"
"HTR2C","1. response to stimulus"
"HTR3A","1. response to stimulus"
"HTR3B","1. response to stimulus"
"HTR4","1. response to stimulus"
"HTR5A","1. response to stimulus"
"HTR5B","1. response to stimulus"
"HTR6","1. response to stimulus"
"HTR7","1. response to stimulus"
"HTRA1","1. response to stimulus"
"HTRA2","1. response to stimulus"
"HTRA3","1. response to stimulus"
"HTT","1. response to stimulus"
"HUNK","1. response to stimulus"
"HUS1","1. response to stimulus"
"HUS1B","1. response to stimulus"
"HUWE1","1. response to stimulus"
"HVCN1","1. response to stimulus"
"HYAL1","1. response to stimulus"
"HYAL2","1. response to stimulus"
"HYAL3","1. response to stimulus"
"HYOU1","1. response to stimulus"
"IAPP","1. response to stimulus"
"IBSP","1. response to stimulus"
"ICAM1","1. response to stimulus"
"ICMT","1. response to stimulus"
"ICOSL","1. response to stimulus"
"ID1","1. response to stimulus"
"ID2","1. response to stimulus"
"ID3","1. response to stimulus"
"IDH1","1. response to stimulus"
"IDO1","1. response to stimulus"
"IDUA","1. response to stimulus"
"IER2","1. response to stimulus"
"IER3","1. response to stimulus"
"IER5","1. response to stimulus"
"IEREPO2","1. response to stimulus"
"IFI27","1. response to stimulus"
"IFI27L2A","1. response to stimulus"
"IFI27L2B","1. response to stimulus"
"IFI44","1. response to stimulus"
"IFI44L","1. response to stimulus"
"IFI47","1. response to stimulus"
"IFI202A","1. response to stimulus"
"IFI202B","1. response to stimulus"
"IFI203","1. response to stimulus"
"IFI204","1. response to stimulus"
"IFI205","1. response to stimulus"
"IFI206","1. response to stimulus"
"IFI207","1. response to stimulus"
"IFI208","1. response to stimulus"
"IFI209","1. response to stimulus"
"IFI211","1. response to stimulus"
"IFI213","1. response to stimulus"
"IFI214","1. response to stimulus"
"IFIH1","1. response to stimulus"
"IFIT1","1. response to stimulus"
"IFIT1BL1","1. response to stimulus"
"IFIT1BL2","1. response to stimulus"
"IFIT2","1. response to stimulus"
"IFIT3","1. response to stimulus"
"IFIT3B","1. response to stimulus"
"IFITM1","1. response to stimulus"
"IFITM2","1. response to stimulus"
"IFITM3","1. response to stimulus"
"IFITM6","1. response to stimulus"
"IFITM7","1. response to stimulus"
"IFNA","1. response to stimulus"
"IFNA1","1. response to stimulus"
"IFNA2","1. response to stimulus"
"IFNA4","1. response to stimulus"
"IFNA5","1. response to stimulus"
"IFNA6","1. response to stimulus"
"IFNA7","1. response to stimulus"
"IFNA9","1. response to stimulus"
"IFNA11","1. response to stimulus"
"IFNA12","1. response to stimulus"
"IFNA13","1. response to stimulus"
"IFNA14","1. response to stimulus"
"IFNA15","1. response to stimulus"
"IFNA16","1. response to stimulus"
"IFNAB","1. response to stimulus"
"IFNAR1","1. response to stimulus"
"IFNAR2","1. response to stimulus"
"IFNB1","1. response to stimulus"
"IFNE","1. response to stimulus"
"IFNG","1. response to stimulus"
"IFNGR1","1. response to stimulus"
"IFNGR2","1. response to stimulus"
"IFNK","1. response to stimulus"
"IFNL2","1. response to stimulus"
"IFNL3","1. response to stimulus"
"IFNLR1","1. response to stimulus"
"IFNZ","1. response to stimulus"
"IFRD1","1. response to stimulus"
"IFT20","1. response to stimulus"
"IFT22","1. response to stimulus"
"IFT27","1. response to stimulus"
"IFT46","1. response to stimulus"
"IFT52","1. response to stimulus"
"IFT57","1. response to stimulus"
"IFT74","1. response to stimulus"
"IFT80","1. response to stimulus"
"IFT81","1. response to stimulus"
"IFT88","1. response to stimulus"
"IFT122","1. response to stimulus"
"IFT140","1. response to stimulus"
"IFT172","1. response to stimulus"
"IGBP1","1. response to stimulus"
"IGBP1B","1. response to stimulus"
"IGF1","1. response to stimulus"
"IGF1R","1. response to stimulus"
"IGF2","1. response to stimulus"
"IGF2BP1","1. response to stimulus"
"IGF2R","1. response to stimulus"
"IGFALS","1. response to stimulus"
"IGFBP1","1. response to stimulus"
"IGFBP2","1. response to stimulus"
"IGFBP3","1. response to stimulus"
"IGFBP4","1. response to stimulus"
"IGFBP5","1. response to stimulus"
"IGFBP6","1. response to stimulus"
"IGH-7","1. response to stimulus"
"IGH-8","1. response to stimulus"
"IGHA","1. response to stimulus"
"IGHD","1. response to stimulus"
"IGHE","1. response to stimulus"
"IGHG","1. response to stimulus"
"IGHG1","1. response to stimulus"
"IGHG2A","1. response to stimulus"
"IGHG2B","1. response to stimulus"
"IGHG2C","1. response to stimulus"
"IGHG3","1. response to stimulus"
"IGHM","1. response to stimulus"
"IGHV1-4","1. response to stimulus"
"IGHV1-5","1. response to stimulus"
"IGHV1-7","1. response to stimulus"
"IGHV1-9","1. response to stimulus"
"IGHV1-11","1. response to stimulus"
"IGHV1-12","1. response to stimulus"
"IGHV1-15","1. response to stimulus"
"IGHV1-16","1. response to stimulus"
"IGHV1-18","1. response to stimulus"
"IGHV1-19","1. response to stimulus"
"IGHV1-20","1. response to stimulus"
"IGHV1-22","1. response to stimulus"
"IGHV1-23","1. response to stimulus"
"IGHV1-24","1. response to stimulus"
"IGHV1-26","1. response to stimulus"
"IGHV1-31","1. response to stimulus"
"IGHV1-34","1. response to stimulus"
"IGHV1-36","1. response to stimulus"
"IGHV1-37","1. response to stimulus"
"IGHV1-39","1. response to stimulus"
"IGHV1-42","1. response to stimulus"
"IGHV1-43","1. response to stimulus"
"IGHV1-47","1. response to stimulus"
"IGHV1-49","1. response to stimulus"
"IGHV1-50","1. response to stimulus"
"IGHV1-52","1. response to stimulus"
"IGHV1-53","1. response to stimulus"
"IGHV1-54","1. response to stimulus"
"IGHV1-55","1. response to stimulus"
"IGHV1-56","1. response to stimulus"
"IGHV1-58","1. response to stimulus"
"IGHV1-59","1. response to stimulus"
"IGHV1-61","1. response to stimulus"
"IGHV1-62-1","1. response to stimulus"
"IGHV1-62-2","1. response to stimulus"
"IGHV1-62-3","1. response to stimulus"
"IGHV1-63","1. response to stimulus"
"IGHV1-64","1. response to stimulus"
"IGHV1-66","1. response to stimulus"
"IGHV1-67","1. response to stimulus"
"IGHV1-69","1. response to stimulus"
"IGHV1-72","1. response to stimulus"
"IGHV1-74","1. response to stimulus"
"IGHV1-75","1. response to stimulus"
"IGHV1-76","1. response to stimulus"
"IGHV1-77","1. response to stimulus"
"IGHV1-78","1. response to stimulus"
"IGHV1-80","1. response to stimulus"
"IGHV1-81","1. response to stimulus"
"IGHV1-82","1. response to stimulus"
"IGHV1-84","1. response to stimulus"
"IGHV1-85","1. response to stimulus"
"IGHV2-2","1. response to stimulus"
"IGHV2-3","1. response to stimulus"
"IGHV2-4","1. response to stimulus"
"IGHV2-5","1. response to stimulus"
"IGHV2-6","1. response to stimulus"
"IGHV2-6-8","1. response to stimulus"
"IGHV2-7","1. response to stimulus"
"IGHV2-9","1. response to stimulus"
"IGHV2-9-1","1. response to stimulus"
"IGHV3-1","1. response to stimulus"
"IGHV3-3","1. response to stimulus"
"IGHV3-4","1. response to stimulus"
"IGHV3-5","1. response to stimulus"
"IGHV3-6","1. response to stimulus"
"IGHV3-8","1. response to stimulus"
"IGHV4-1","1. response to stimulus"
"IGHV5-2","1. response to stimulus"
"IGHV5-4","1. response to stimulus"
"IGHV5-6","1. response to stimulus"
"IGHV5-9","1. response to stimulus"
"IGHV5-9-1","1. response to stimulus"
"IGHV5-12","1. response to stimulus"
"IGHV5-12-4","1. response to stimulus"
"IGHV5-15","1. response to stimulus"
"IGHV5-16","1. response to stimulus"
"IGHV5-17","1. response to stimulus"
"IGHV6-3","1. response to stimulus"
"IGHV6-4","1. response to stimulus"
"IGHV6-5","1. response to stimulus"
"IGHV6-6","1. response to stimulus"
"IGHV6-7","1. response to stimulus"
"IGHV7-2","1. response to stimulus"
"IGHV7-4","1. response to stimulus"
"IGHV8-2","1. response to stimulus"
"IGHV8-4","1. response to stimulus"
"IGHV8-5","1. response to stimulus"
"IGHV8-6","1. response to stimulus"
"IGHV8-8","1. response to stimulus"
"IGHV8-9","1. response to stimulus"
"IGHV8-11","1. response to stimulus"
"IGHV8-12","1. response to stimulus"
